ID,spaceId,duration,number_of_participants,start_date,end_date,createdAt,updatedAt,roomSid
119992,21542,74,1,7/1/2023 6:55,7/1/2023 6:56,7/1/2023 6:55,7/1/2023 6:56,b0c49347-215d-4275-974b-bf16b8d0ce27
119993,21542,7,1,7/1/2023 6:57,7/1/2023 6:57,7/1/2023 6:57,7/1/2023 6:57,10ae2d0a-92d1-4a06-9efd-ef2ca7675d86
119994,21542,71,1,7/1/2023 7:37,7/1/2023 7:38,7/1/2023 7:37,7/1/2023 7:38,74aec75e-2acd-4c70-8c7e-f9458bcc3c34
119995,21542,320,1,7/1/2023 7:38,7/1/2023 7:43,7/1/2023 7:38,7/1/2023 7:43,4dccb1b3-5c2e-414a-9fa4-087ae05449ce
119996,21542,67,1,7/1/2023 9:38,7/1/2023 9:39,7/1/2023 9:38,7/1/2023 9:39,d7e0cf57-9cc7-47f9-98a7-7950ba0cc06a
119997,17169,10,1,7/1/2023 9:48,7/1/2023 9:48,7/1/2023 9:48,7/1/2023 9:48,3b5e01a9-3a29-48d4-8eec-93f9a60d4f67
119998,21542,30,1,7/1/2023 9:51,7/1/2023 9:51,7/1/2023 9:51,7/1/2023 9:51,a6e1339f-e875-4349-9079-2c4397e68af7
119999,21542,118,1,7/1/2023 9:52,7/1/2023 9:54,7/1/2023 9:52,7/1/2023 9:54,63a7e48c-5eff-4234-ab76-b5b9ba80794c
120000,21542,5,1,7/1/2023 9:54,7/1/2023 9:54,7/1/2023 9:54,7/1/2023 9:54,6f3ce840-f84a-41a0-92db-79353b4d3207
120001,21542,30,1,7/1/2023 9:57,7/1/2023 9:57,7/1/2023 9:57,7/1/2023 9:57,17a55c66-dda9-4bb0-945a-7bdf4ca31904
120002,21542,9,1,7/1/2023 9:58,7/1/2023 9:58,7/1/2023 9:58,7/1/2023 9:58,f0196dc1-10f2-472c-be65-0202b4dff9f2
120003,21542,6,1,7/1/2023 10:01,7/1/2023 10:01,7/1/2023 10:01,7/1/2023 10:01,00d43014-e502-4845-b7b7-530c3e9ffa16
